@relation pacman.pract1

@attribute pacman_x numeric
@attribute pacman_y numeric
@attribute num_fantasmas numeric
@attribute fantasma1_x numeric
@attribute fantasma1_y numeric
@attribute fantasma2_x numeric
@attribute fantasma2_y numeric
@attribute fantasma3_x numeric
@attribute fantasma3_y numeric
@attribute fantasma4_x numeric
@attribute fantasma4_y numeric
@attribute fantasma1_vivo {True,False}
@attribute fantasma2_vivo {True,False}
@attribute fantasma3_vivo {True,False}
@attribute fantasma4_vivo {True,False}
@attribute fantasma_cercano_x numeric
@attribute fantasma_cercano_y numeric
@attribute dif_puntuacion numeric
@attribute direccion_pacman {West, Stop, East, North, South}

@data
10, 6, 4, 6, 10, 7, 10, 5, 1, 7, 1, True, True, False, False, -3, 4, -1, East
9, 6, 4, 6, 11, 7, 10, 5, 1, 7, 1, True, True, False, False, -2, 4, -1, West
10, 6, 4, 6, 12, 6, 10, 5, 1, 7, 1, True, True, False, False, -4, 4, -1, East
9, 6, 4, 6, 11, 5, 10, 5, 1, 7, 1, True, True, False, False, -3, 5, -1, West
9, 5, 4, 5, 11, 6, 10, 5, 1, 7, 1, True, True, False, False, -3, 5, -1, South
9, 6, 4, 5, 12, 6, 9, 5, 1, 7, 1, True, True, False, False, -3, 3, -1, North
9, 5, 4, 5, 11, 6, 8, 5, 1, 7, 1, True, True, False, False, -3, 3, -1, South
9, 6, 4, 5, 11, 6, 7, 5, 1, 7, 1, True, True, False, False, -3, 1, -1, North
9, 5, 4, 5, 12, 6, 6, 5, 1, 7, 1, True, True, False, False, -3, 1, -1, South
9, 6, 4, 4, 12, 6, 5, 5, 1, 7, 1, True, True, False, False, -3, -1, -1, North
9, 5, 4, 4, 11, 7, 5, 5, 1, 7, 1, True, True, False, False, -2, 0, -1, South
